Palavra,Contagem
ir,902
pra,850
querer,552
saber,519
fazer,378
todo,345
tudo,336
ver,313
tempo,274
amor,271
dia,250
dizer,241
poder,233
bem,219
aqui,204
vida,198
vir,197
passar,192
mundo,189
deixar,189
viver,186
vez,180
sempre,175
assim,171
gente,168
bom,168
nada,161
ficar,154
tá,151
dar,145
agora,136
esse,136
olhar,135
onde,134
lugar,133
fim,132
esperar,129
ninguém,128
outro,127
chegar,122
nunca,121
ainda,120
pensar,120
coisa,113
falar,110
porque,106
de,106
voltar,103
pro,100
levar,97
sinto,96
coração,94
oh,91
então,90
medo,89
noite,88
em,88
sol,85
céu,85
cada,84
alguém,84
perder,84
achar,83
hoje,78
paz,78
ô,77
lá,76
entrar,76
mão,75
seguir,74
encontrar,73
sentir,72
mudar,72
feliz,71
vejo,69
dois,68
hora,68
começar,67
preciso,66
esquecer,65
tanto,65
acreditar,64
pouco,62
luz,62
tentar,62
ah,61
sonho,61
entender,60
certo,60
olho,60
precisar,58
gostar,58
fiz,58
sair,58
algum,57
cair,57
mar,57
mal,56
casa,56
ouvir,55
cedo,55
lembrar,55
demais,54
qualquer,54
novo,52
pé,50
existir,50
deus,49
futuro,48
ime,48
vento,48
talvez,48
amigo,47
algo,47
quase,47
sobre,47
dor,46
família,46
dever,46
verdade,46
solidão,45
longe,45
nenhum,45
vou,44
embora,43
andar,43
pois,43
quanto,43
tarde,43
flor,42
fé,42
amar,42
último,42
abrir,42
it,41
importar,41
acordar,41
chorar,40
cabeça,40
aí,40
cidade,40
pop,39
chão,39
lar,39
antes,38
enquanto,38
atrás,37
parar,37
parecer,37
dentro,37
morrer,37
amanhã,36
thuruthu,36
nome,36
acabar,36
razão,36
errar,36
uh,36
ano,35
esconder,35
mesmo,34
acontecer,34
diferente,34
conhecer,34
saudade,33
cor,33
comigo,33
terra,33
procurar,32
ai,32
digar,32
cantar,32
semana,32
dormir,32
motivo,31
jogar,31
pulso,31
igual,31
manhã,31
correr,30
canção,30
parte,30
daun,30
menos,30
perceber,30
aceitar,30
rua,30
beat,30
pedir,29
toda,29
ar,29
bater,29
amo,29
trás,29
caminho,29
pai,29
frente,29
jeito,28
mãe,28
you,28
grande,28
final,28
brasil,28
lado,28
homem,28
nascer,28
inteiro,28
i,27
junto,27
adeus,27
contar,27
meio,27
três,27
sorrir,27
cuidar,26
país,26
escrever,26
sonhar,26
vido,26
continuar,26
chamar,26
polícia,26
trazer,26
girar,26
quê,26
filho,26
corpo,25
guerra,25
aprender,25
calmo,25
volta,25
primeiro,25
highway,25
conseguir,25
escuro,25
além,25
viajar,24
porta,24
logo,24
calor,24
ali,24
pequeno,24
forte,24
estrela,24
lembro,24
plano,24
perto,24
legal,24
explicar,24
restar,24
pacato,24
sim,23
silêncio,23
let,23
santo,23
virar,23
vontade,23
atenção,23
força,23
escutar,23
ler,23
devagar,23
erro,23
chuva,23
consigo,23
tomar,23
dinheiro,23
ei,23
ilusão,22
pedra,22
aonde,22
se,22
sozinho,22
fechar,22
presente,22
fácil,22
escolha,22
time,22
crescer,22
claro,21
inferno,21
guardar,21
palavra,21
cara,21
navio,21
normal,21
sorte,21
frio,21
cheio,21
escolher,21
more,20
saída,20
partir,20
jogo,20
baun,20
pressa,20
passo,20
laun,20
filme,20
solo,20
mostrar,20
pesar,20
aparecer,20
fingir,20
muito,20
ajudar,20
chance,20
azul,20
mês,20
solução,19
voar,19
espelho,19
bocar,19
fico,19
criança,19
teto,19
destino,19
senhor,19
mau,19
momento,19
ganhar,19
fugir,19
terminar,19
valer,19
distante,18
bonito,18
jamais,18
segundo,18
sofrer,18
mente,18
is,18
voz,18
yeah,18
resposta,18
perdi,18
her,18
one,18
olhos,18
pena,17
inverno,17
ser,17
culpa,17
próprio,17
alto,17
sentido,17
beijo,17
puro,17
provar,17
celebrar,17
estranho,17
subir,17
dançar,17
história,17
gastar,17
ruim,17
cidadão,17
repetir,17
adiantar,17
beber,17
cabelo,17
engano,17
água,17
tocar,17
contra,17
aguentar,16
puder,16
matar,16
quiser,16
rodar,16
sorriso,16
chame,16
poupar,16
dera,16
pára,16
peito,16
ih,16
apenas,16
vier,16
arte,16
vazio,16
comer,16
convencer,16
avisar,16
pensamento,16
difícil,16
tiro,16
estar,16
completo,16
alegrio,15
vencer,15
quatro,15
om,15
direção,15
interessar,15
faltar,15
perguntar,15
ferir,15
namah,15
shivaya,15
bizarro,15
passado,15
responder,15
lua,15
desistir,15
prefiro,15
deixo,15
eduardo,15
pessoa,15
prender,15
coragem,15
crir,15
antigo,14
metade,14
trocar,14
crer,14
ter,14
questão,14
tv,14
uhu,14
vidro,14
lir,14
amanhecer,14
descansar,14
decidir,14
roupa,14
insistir,14
morar,14
resolver,14
livre,14
papa,14
real,14
gaiato,14
começo,14
quarto,14
maré,14
sangue,14
fogo,14
imaginar,14
menina,13
violência,13
selvagem,13
comemorar,13
gelar,13
desejo,13
atirir,13
buscar,13
problema,13
vivo,13
certeza,13
emoção,13
pele,13
toa,13
almar,13
crime,13
juventude,13
morte,13
infinito,13
repente,13
arma,13
get,13
entregar,13
dedo,13
ilha,13
juntar,13
conectar,13
festa,13
durar,13
rir,13
brasileiro,13
cinema,13
ódio,13
ligar,12
enganar,12
capaz,12
papel,12
mulher,12
este,12
rei,12
cansar,12
the,12
viagem,12
jah,12
libertar,12
incrível,12
velho,12
caos,12
um,12
levantar,12
mentira,12
on,12
esperei,12
brilho,12
acelerar,12
demorar,12
usar,12
mentir,12
tristir,11
reclamar,11
enlouquecer,11
possível,11
sinal,11
botar,11
rosto,11
cê,11
praia,11
rio,11
graça,11
pôr,11
dez,11
esperança,11
uooh,11
brincar,11
metal,11
sigo,11
livro,11
disfarça,11
enfrentar,11
ideia,11
civilização,11
quebrar,11
perigo,11
curar,11
with,11
merecer,11
segredo,11
forma,11
som,11
estrada,11
adiante,11
cama,11
verde,11
jornal,11
to,11
tristeza,11
redor,11
estação,11
notícia,10
mônico,10
verdadeiro,10
exatamente,10
sob,10
fracasso,10
pude,10
comido,10
mesa,10
estrangeiro,10
falta,10
sincero,10
tirar,10
cortar,10
fundo,10
tornar,10
vital,10
trabalhar,10
jardim,10
ombro,10
aproximar,10
desligar,10
imaginário,10
cuidado,10
guerrar,10
bar,10
menino,10
sumir,10
favor,10
abraçar,10
pintar,10
pronto,10
impedir,10
tempestade,10
fiquei,10
bola,10
soprar,10
joão,10
bicho,10
aquele,10
carro,10
life,10
now,10
baby,10
mereço,10
simples,10
vira,10
perco,10
televisão,10
meia,10
jantar,10
verso,10
loom,10
ê,10
esqueço,10
deed,9
beleza,9
enterrar,9
seguro,9
volto,9
importante,9
gone,9
she,9
blink,9
tado,9
done,9
janela,9
cego,9
emergência,9
encontro,9
acordo,9
desculpa,9
mandar,9
desde,9
impossível,9
braço,9
marca,9
iluminar,9
felicidade,9
claudia,9
queima,9
have,9
maldade,9
down,9
alcançar,9
movimento,9
passageiro,9
distrair,9
enxergar,9
futebol,9
êxtase,9
dir,9
apagar,9
pão,9
aguento,9
júlia,9
face,9
medir,9
perfeito,9
avante,9
julgar,9
caber,9
proteção,9
poesia,9
canto,9
próximo,9
evitar,9
inventar,9
fun,9
grito,9
revolver,9
adorar,8
exercitar,8
soubesse,8
avião,8
louco,8
fecho,8
sombra,8
romance,8
anjo,8
valor,8
respirar,8
balanço,8
só,8
mil,8
tar,8
enfim,8
some,8
belo,8
defeito,8
percebo,8
calar,8
oi,8
branco,8
navegar,8
cinco,8
apontar,8
universo,8
assumir,8
cigarro,8
nação,8
lei,8
cima,8
disco,8
desfazer,8
horror,8
alvo,8
multidão,8
lembrança,8
anna,8
apertar,8
pedaço,8
levo,8
língua,8
preocupar,8
memório,8
reconhecer,8
curto,8
dança,8
segurar,8
sono,8
assunto,8
espinho,8
educação,8
notar,8
capitalismo,8
rezo,8
jovem,8
primatar,8
escola,8
chave,8
distância,8
sentimento,8
és,8
prazer,8
liberdade,8
resto,8
vender,8
roubar,8
abismo,8
clarear,8
inimigo,8
peso,8
tal,7
tr,7
preto,7
irmão,7
sintonizar,7
total,7
diver,7
palavrar,7
beco,7
puxar,7
samba,7
parede,7
telefone,7
ana,7
fato,7
povo,7
prometer,7
my,7
molhar,7
milhão,7
conversar,7
pagar,7
tomeir,7
donar,7
garoto,7
diversão,7
atirar,7
fortaleza,7
nariz,7
desviar,7
bêbado,7
duvidar,7
corrente,7
guardo,7
lento,7
banda,7
moinho,7
ego,7
mistério,7
foto,7
marinheiro,7
direito,7
caminhar,7
burro,7
but,7
doce,7
inteirar,7
favor o,7
mudo,7
recomeçar,7
acender,7
promessa,7
uoh,7
presta,7
gritar,7
grano,7
cura,7
sangrar,7
confusão,7
ensinar,7
deixeir,7
inteira,7
motor,7
lágrimo,7
mudei,7
americano,7
plástico,7
remédio,7
engole,7
fome,7
dragão,7
descer,7
deserto,7
transformar,7
peixe,7
escroto,7
carar,7
castelo,7
dominar,7
moramo,7
mucambo,7
marcar,7
afogar,7
realmente,7
ponto,7
condição,7
presidente,7
foda,7
agradecer,7
agrar,6
obsoleto,6
refr,6
super,6
deitar,6
acaso,6
vidar,6
marte,6
cano,6
cridir,6
riso,6
jeremia,6
morri,6
moleza,6
lavar,6
café,6
encontre,6
rezar,6
sede,6
escute,6
melhorar,6
bolso,6
levante,6
compartilhar,6
dividir,6
devorar,6
temporal,6
conquistar,6
fria,6
brazil,6
welcome,6
bandeira,6
pijama,6
bangladesh,6
marvin,6
escuto,6
isso,6
óculos,6
abandone,6
longo,6
horizonte,6
peço,6
prisão,6
ideal,6
servir,6
timer,6
sapato,6
zerar,6
rato,6
costa,6
lutar,6
quente,6
quer,6
dói,6
insuportável,6
improvável,6
paciência,6
rede,6
paixão,6
descobri,6
olhai,6
placar,6
dê,6
saideiro,6
droga,6
projeto,6
carinho,6
revolução,6
asfalto,6
morr,6
arrepender,6
uou,6
surgir,6
cobrir,6
prova,6
imenso,6
pegar,6
comprar,6
sonífer,6
der,6
corte,6
participo,6
caso,6
acompanhar,6
esqueci,6
sintar,6
and,6
maria,6
procur,6
garota,6
pablo,6
previsão,6
fantasma,6
negócio,6
geração,6
apaixonar,6
gerar,6
respeitar,6
aventurar,6
madrugada,6
adulto,6
la,6
sossegar,6
travesseiro,6
sistema,6
cheirar,6
diabo,6
doente,6
bomba,6
papar,6
consciência,6
all,6
humano,6
rico,6
vermelho,6
plataforma,6
sopro,6
hum,6
carta,6
disser,6
funcionar,6
satisfazr,6
gigante,5
escapar,5
linha,5
vestir,5
alimentar,5
jogue,5
divider,5
arrastar,5
envolver,5
separar,5
sufocar,5
partida,5
linda,5
simetr,5
pecar,5
proteger,5
beijar,5
triste,5
raio,5
cansei,5
bobagem,5
andeer,5
porto,5
ó,5
fumo,5
maneira,5
perfeita,5
abraço,5
morra,5
traição,5
utopia,5
ror,5
venceremo,5
explodir,5
trenchtown,5
geral,5
distraio,5
lindo,5
armar,5
diante,5
anteno,5
s,5
trabalho,5
amargo,5
asa,5
mantra,5
intenção,5
perdão,5
alagar,5
oceano,5
ataque,5
classe,5
central,5
correnteza,5
carregar,5
contente,5
doerr,5
idade,5
tratar,5
confiar,5
território,5
tranquilo,5
lente,5
areiar,5
início,5
apartamento,5
derrubar,5
antigamente,5
colo,5
estupidez,5
derretir,5
devo,5
chorei,5
colocar,5
ouro,5
disparo,5
entrego,5
of,5
norte,5
incapaz,5
explicação,5
causar,5
cafundó,5
vela,5
divino,5
mudario,5
prum,5
ta,5
fomer,5
gravidade,5
tir,5
primavera,5
aprovar,5
relógio,5
incomodo,5
século,5
laço,5
brilha,5
lixo,5
timbre,5
nota,5
socializar,5
trac,5
namorar,5
vamo,5
teimar,5
sul,5
rolar,5
mijar,5
programar,5
colorir,5
ouço,5
américar,5
fuga,5
protejor,5
assistir,5
abrigo,5
descobrir,5
caboclo,5
falso,5
apropriar,5
rapaz,5
astral,5
folha,5
relento,5
solitár,5
muro,5
dorme,5
novamente,5
gato,5
despertar,5
vapor,5
enchar,5
fantasia,5
olhei,5
barato,5
necessidade,5
ahh,5
balar,5
perigoso,5
baixo,5
lançar,5
soltar,5
memória,5
mudança,5
fonte,5
beatle,5
ofereço,5
be,5
indeciso,5
tostão,5
negro,5
qual,5
care,4
certezar,4
moto,4
mapa,4
contramão,4
duro,4
esquina,4
prometa,4
cachorro,4
punho,4
brigar,4
guiar,4
rastejei,4
embriaguei,4
inveja,4
nadar,4
por,4
batata,4
descascar,4
milho,4
planalto,4
japão,4
bangkok,4
amizade,4
had,4
mágoa,4
amém,4
baltimore,4
enough,4
liverpool,4
modo,4
negar,4
bordel,4
bebedeira,4
nova,4
debaixo,4
rápido,4
percebi,4
lidar,4
opor,4
espaço,4
salva,4
maravilha,4
ladrão,4
desanimar,4
flutuar,4
divertir,4
luo,4
mude,4
pesadelo,4
opinião,4
conecta,4
conhaque,4
filha,4
novidade,4
rádio,4
declarar,4
fotografia,4
propagandar,4
refrigerante,4
carto,4
atiro,4
mania,4
almoçar,4
sujo,4
busco,4
frequência,4
encaixar,4
repar,4
envelheci,4
curso,4
capitão,4
pobre,4
frase,4
temer,4
raro,4
liguei,4
corr,4
lúcio,4
remar,4
ri,4
definir,4
agradar,4
incerteza,4
comida,4
planeta,4
inglês,4
in,4
absurdo,4
encantar,4
opção,4
mato,4
alemão,4
evito,4
eternidade,4
ondas,4
jurei,4
prato,4
morro,4
arde,4
escrevi,4
prever,4
permitir,4
apesar,4
vulgar,4
testemunha,4
herói,4
endereço,4
salvo,4
hesitar,4
deixão,4
arreper,4
manhãs,4
your,4
livrar,4
tédio,4
fevereiro,4
suspeito,4
aperto,4
morrar,4
refleter,4
queimar,4
paulo,4
larar,4
aceito,4
lábio,4
labirinto,4
ouça,4
coronel,4
bala,4
sa,4
brilhar,4
raiva,4
uniforme,4
esquadr,4
aproveitar,4
mansidão,4
imperfeito,4
use,4
maremoto,4
preparar,4
vote,4
beba,4
compre,4
desaguar,4
encanto,4
maluco,4
precisamo,4
planejar,4
chegamo,4
machucar,4
misteriosamente,4
certamente,4
independência,4
tracei,4
tramor,4
música,4
apoiar,4
tecnologiar,4
gravar,4
obrigar,4
limpar,4
obedecer,4
cooperar,4
acostumar,4
fini,4
pertencer,4
tento,4
banho,4
ruar,4
seis,4
ato,4
desejar,4
was,4
vingar,4
suave,4
construir,4
chameir,4
clichê,4
stone,4
ordem,4
observar,4
recusar,4
frágil,4
ancestral,4
renascer,4
machuquei,4
joguei,4
sambe,4
anvisa,4
tipo,4
floral,4
testar,4
anteontem,4
rolling,4
modificar,4
antiácir,4
depressivo,4
pró,4
sentar,4
culpar,4
guarde,4
man,4
luar,4
veia,4
trailers,4
betty,4
bander,4
boop,4
máscara,4
cobre,4
macaco,4
escuridão,4
bebo,4
criação,4
conte,4
criar,4
suar,4
pecer,4
conta,4
conheço,4
expor,4
sobrar,4
cuidarei,4
desonre,4
revelar,4
vício,4
minuto,4
ame,4
haver,4
car,4
beijor,4
brasília,4
trato,4
instante,4
cal,4
êcstasy,4
ator,4
ondar,4
par,4
anunciar,4
barbie,4
pisar,4
via,4
ontem,4
exercício,4
bastar,4
moça,4
emprego,4
transparecer,4
dose,4
alma,4
através,4
breve,4
realidade,4
suorr,4
descanso,4
gole,4
briga,4
finjo,4
ignorar,4
discutir,4
simetria,3
primeira,3
sete,3
questionar,3
idéia,3
instinto,3
disperso,3
corresponder,3
day,3
museu,3
ligação,3
formar,3
rezas,3
evolução,3
mamãe,3
preocupo,3
empurrar,3
vinte,3
magia,3
recordar,3
vídeo,3
percebir,3
eu,3
entreguei,3
porquê,3
tolo,3
boca,3
desaparecer,3
cento,3
brasão,3
conversa,3
errei,3
furacão,3
geraçãor,3
prestar,3
infernal,3
religião,3
monstro,3
burguese,3
heart,3
contratempo,3
perdoar,3
sessentar,3
prometo,3
traficante,3
nuvem,3
render,3
movimenta,3
rock,3
embaixo,3
afinal,3
roubo,3
caia,3
dormer,3
avesso,3
piscino,3
conheci,3
besta,3
cicatriz,3
fluxo,3
portanto,3
lúcia,3
abrace,3
dúvida,3
traidor,3
sustentação,3
cabecer,3
preço,3
págino,3
química,3
reinstalar,3
estrado,3
pináculo,3
garantia,3
pasto,3
artificial,3
destroço,3
limpa,3
risco,3
inocente,3
virtude,3
bagunçar,3
despedaçar,3
demor,3
encho,3
balé,3
taça,3
regra,3
acertar,3
cockr,3
prédio,3
destruição,3
cobr,3
cansaço,3
equalizar,3
transformei,3
rever,3
retirar,3
automático,3
parter,3
piloto,3
temor,3
sequer,3
pistar,3
guitarra,3
vietnã,3
eis,3
brutal,3
implorar,3
hospital,3
inconsequente,3
tinta,3
depressa,3
páler,3
solta,3
servar,3
cacho,3
perdidinho,3
ferido,3
stopr,3
casar,3
humanidade,3
nacional,3
festejar,3
caio,3
ninho,3
beira,3
crescir,3
barro,3
troca,3
movo,3
milha,3
alheio,3
banheiro,3
brindar,3
ie,3
winchester,3
objeto,3
queimo,3
soldadinhar,3
feche,3
memór,3
histório,3
pássaro,3
impressionar,3
quarenta,3
pressão,3
made,3
boiadeiro,3
voa,3
selva,3
positivo,3
pouquinho,3
raspa,3
cruel,3
semente,3
sinceridade,3
natural,3
impulso,3
seco,3
firme,3
oooh,3
safar,3
cobertor,3
campo,3
casulo,3
mergulhar,3
moço,3
moçar,3
desvendar,3
zebrinha,3
oncinha,3
ruga,3
pulgo,3
civilizar,3
consertar,3
perfume,3
desarmar,3
político,3
hey,3
jungle,3
canhão,3
dimensão,3
hostil,3
esper,3
trouxer,3
azar,3
agir,3
entendi,3
saio,3
bastaria,3
lanterna,3
légua,3
tom,3
herdar,3
cartão,3
postal,3
de eu,3
fosser,3
rascunho,3
milhar,3
pau,3
informação,3
praça,3
afago,3
dó,3
loucura,3
sincerar,3
abandonar,3
aprovação,3
escorra,3
desespero,3
sina,3
atribuir,3
serpente,3
atrair,3
enxergo,3
brisa,3
danar,3
brincadeira,3
novela,3
listrar,3
coelhinho,3
alô,3
descalço,3
desmentir,3
procuro,3
proposta,3
uso,3
sentia,3
podre,3
saia,3
passagem,3
imagem,3
vizinho,3
vago,3
progresso,3
filtrar,3
uhh,3
pesca,3
custar,3
cobrar,3
peludo,3
paro,3
aviser,3
bete,3
palma,3
terceiro,3
sala,3
torrer,3
desesperar,3
greve,3
soar,3
metrô,3
simplesmente,3
articular,3
curiosidade,3
intensidade,3
yo,3
parir,3
pátria,3
reflexão,3
amigão,3
convém,3
médio,3
metamorfose,3
noção,3
rédea,3
vendaval,3
raiar,3
galo,3
nobre,3
voe,3
poeta,3
carnaval,3
enfeitar,3
barco,3
fuder,3
criaturar,3
escravo,3
dúvidar,3
antenar,3
chefiar,3
camarada,3
brother,3
estrago,3
tio,3
comandante,3
lagrimo,3
ohr,3
beija,3
animal,3
chover,3
trovão,3
cortina,3
subverter,3
manter,3
pês,3
esquinar,3
moro,3
igreja,3
reconheci,3
exploder,3
crânio,3
justiça,3
consiga,3
absorver,3
feijão,3
carmo,3
merecia,3
gota,3
órbita,3
amanheceu,3
ladinho,3
mangaba,3
chateau,3
fruto,3
retrato,3
insônio,3
dance,3
remediar,3
interesso,3
misério,3
visito,3
aproveito,3
superar,3
militar,3
passear,3
garantir,3
desafinar,3
bailarino,3
dente,3
copo,3
suor,3
madrugar,3
cachaça,3
moleque,3
profundo,3
interno,3
aflito,3
direto,3
uva,3
cante,3
sujeira,3
rancor,3
aumentar,3
m,3
renover,3
impasses,3
convés,3
pano,3
clima,3
considerar,3
segur,3
tomo,3
desperdiçar,3
pagão,3
pulo,3
ohh,3
terror,3
tonar,3
largar,3
festival,3
esquino,2
indigente,2
defesa,2
atraar,2
sacano,2
gol,2
envelhecer,2
bate,2
profur,2
tropeçar,2
casual,2
menter,2
cabecear,2
lama,2
velejar,2
aquecer,2
reder,2
embriagar,2
roer,2
bolero,2
tapete,2
gozo,2
liber,2
persegue,2
perda,2
proibir,2
craque,2
centroavante,2
emocionante,2
camisa,2
rolimã,2
valho,2
compra,2
peça,2
objetivo,2
unha,2
cifr,2
coro,2
jogador,2
ocupar,2
respeito,2
rogério,2
percorrer,2
arranhão,2
cova,2
fita,2
reviver,2
timing,2
casamento,2
cinzento,2
buquê,2
pus,2
comédia,2
cubrar,2
alegrar,2
manha,2
sobreviver,2
tango,2
cavalo,2
trilho,2
prazo,2
tomario,2
facilmente,2
quadro,2
out,2
brinquedo,2
star,2
fantasiar,2
aparelho,2
duvidoso,2
paraíso,2
constelação,2
baralho,2
escar,2
preencho,2
cemitério,2
castigo,2
capoeiro,2
compasso,2
freira,2
basto,2
grego,2
percar,2
maçã,2
songs,2
detesta,2
rodada,2
quebra,2
bis,2
maltratar,2
músculo,2
debulhar,2
tensar,2
compromisso,2
inspiração,2
caridade,2
help,2
quadris,2
rachar,2
mandinga,2
alquimia,2
perfazer,2
descartar,2
triz,2
aeroporto,2
mítica,2
estouro,2
desaprender,2
farsa,2
planto,2
independente,2
durante,2
cogitação,2
contigo,2
abra,2
papagaio,2
vivemo,2
desfeito,2
alterir,2
aço,2
vester,2
refúgior,2
odiar,2
tobogã,2
áreo,2
ouvimo,2
exorcizo,2
pombo,2
decepcionar,2
demônio,2
pó,2
terminei,2
derreter,2
instrumental,2
voarr,2
inevitavelmente,2
véu,2
convidar,2
abençoe,2
forjam,2
costumar,2
ação,2
vistar,2
embriaguez,2
paralisante,2
refiz,2
crechar,2
oco,2
imitar,2
sedento,2
flit,2
autorizar,2
situação,2
ligo,2
apegar,2
cativeiro,2
brasílio,2
fabricar,2
pessoal,2
versificação,2
pirata,2
viveríar,2
algodão,2
pensávamo,2
jur,2
possibilidade,2
aromatizante,2
sequestrei,2
loira,2
deixei,2
malar,2
consolar,2
descarto,2
controlar,2
efeito,2
plantar,2
abstrato,2
cobro,2
migalha,2
rimar,2
éden,2
coragemr,2
frustração,2
diamante,2
indiferenço,2
bonsal,2
amarra,2
frutar,2
aldeia,2
invadir,2
florescer,2
declare,2
enter,2
cozer,2
fizer,2
iluminação,2
estômago,2
nu,2
arpoador,2
nuvir,2
espírito,2
comum,2
carregue,2
caçador,2
caça,2
saudaçãor,2
estado,2
trave,2
leveza,2
alter,2
fe injo,2
galho,2
pirar,2
repousa,2
atitude,2
valir,2
cavar,2
isolar,2
visão,2
arrisque,2
frescura,2
passarinho,2
bahia,2
repúdio,2
encosta,2
erguer,2
curtir,2
concordo,2
controle,2
porção,2
caderno,2
facar,2
façam,2
arrasar,2
mundinho,2
lírio,2
corra,2
vestidinho,2
indefectível,2
deter,2
inútil,2
brotar,2
criador,2
piorar,2
árvore,2
receber,2
relação,2
respor,2
serra,2
apaixoneirr,2
pote,2
ouve,2
like,2
admitar,2
want,2
brasa,2
incendeio,2
sal,2
negue,2
hipocrisia,2
disritmia,2
contramãor,2
ão,2
sabor,2
desafia,2
palafito,2
trapiche,2
farrapo,2
agoner,2
when,2
oportunidade,2
aconselhar,2
algema,2
entro,2
alegre,2
presas,2
inspirar,2
onr,2
botão,2
mander,2
despeçar,2
cuidarar,2
sutil,2
brisar,2
fio,2
testa,2
juntinho,2
desfez,2
tapa,2
cruz,2
anestesiar,2
revólver,2
esquentar,2
periga,2
vence,2
preza,2
artista,2
cena,2
clínico,2
chofer,2
beijei,2
afor,2
manda,2
domingo,2
queda,2
lisbelo,2
sertãor,2
freio,2
deslizar,2
ciúme,2
confiamos,2
nasci,2
tombo,2
cozinhar,2
pelé,2
odeio,2
pêlo,2
rapá,2
respiror,2
uuuuuuhhh,2
rotino,2
vejam,2
semáforo,2
pintor,2
val,2
pino,2
neném,2
vagar,2
cheger,2
lógico,2
guerreiro,2
ônibus,2
conselho,2
ritmo,2
união,2
senão,2
vejar,2
sucesso,2
capital,2
desgovernar,2
comprimir,2
italiano,2
princesinho,2
cozinheira,2
mulato,2
lamentar,2
siga,2
luxo,2
perfumar,2
concreto,2
cometi,2
raivo,2
escutei,2
torno,2
carrego,2
sonhei,2
urgênciar,2
varandar,2
portão,2
atrapalhar,2
pedro,2
joguar,2
precipício,2
bilhete,2
cadear,2
somente,2
desprezar,2
crioula,2
lourinhar,2
bombril,2
índia,2
sotaque,2
primórdio,2
arranjei,2
hotel,2
álcool,2
grama,2
posto,2
just,2
sombrar,2
credo,2
poderíar,2
vertigem,2
recupero,2
gemir,2
cotidiano,2
lindar,2
recuperar,2
ponta,2
com si,2
captura,2
expressão,2
thinking,2
fila,2
justificar,2
mostro,2
brilhe,2
contentar,2
brasíliar,2
português,2
pego,2
caronar,2
onda,2
carioca,2
polo,2
maybe,2
bolha,2
esperto,2
vinho,2
rollin,2
estacionar,2
gasolinar,2
óleo,2
diesel,2
esquema,2
rodo,2
subúrbio,2
ll,2
back,2
trapo,2
caco,2
surpreender,2
uuu,2
thi,2
atraso,2
